SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
4388,PG(15:0_18:1)+NH4,C9 H13,C9H13,C2,2,14,121.1013047,85970.65437,121.1011765,1.058820863,14.797422,
4388,PG(15:0_18:1)+NH4,C9 H15,C9H15,C2,2,15,123.1171769,97228.62166,123.1168265,2.846222701,14.797422,
4388,PG(15:0_18:1)+NH4,C9 H17,C9H17,C2,2,16,125.1330022,29199.88914,125.1324765,4.201662555,14.797422,
4388,PG(15:0_18:1)+NH4,C10 H15,C10H15,C2,2,17,135.1170266,107403.6997,135.1168265,1.481418793,14.797422,
4388,PG(15:0_18:1)+NH4,C10 H17,C10H17,C2,2,18,137.1327706,53183.08462,137.1324765,2.14483324,14.797422,
4388,PG(15:0_18:1)+NH4,C11 H17,C11H17,C2,2,19,149.1328692,45190.30047,149.1324765,2.633277046,14.797422,
4388,PG(15:0_18:1)+NH4,C11 H19,C11H19,C2,2,20,151.1481491,51953.9485,151.1481265,0.149872152,14.797422,
4388,PG(15:0_18:1)+NH4,15:0+75.04,MG(R1)-OH,C01,2,27,299.2583842,49639.50675,299.2580715,1.045008983,14.797422,
4388,PG(15:0_18:1)+NH4,18:1+75.04,MG(R2)-OH,C01,2,28,339.2885388,137818.701,339.2893715,-2.454060426,14.797422,
4388,PG(15:0_18:1)+NH4,33:1+75.04,"NL[PG,+NH4]+H",C0,2,29,563.5035078,1418227.003,563.5033865,0.215280575,14.797422,
4987,PG(15:0_18:1)+NH4,C7 H13,C7H13,C2,2,16,97.10160334,40281.21094,97.10117647,4.396130609,14.797412,
4987,PG(15:0_18:1)+NH4,C8 H13,C8H13,C2,2,18,109.1015577,69939.10156,109.1011765,3.494217692,14.797412,
4987,PG(15:0_18:1)+NH4,C8 H15,C8H15,C2,2,19,111.1171384,26470.91016,111.1168265,2.80711879,14.797412,
4987,PG(15:0_18:1)+NH4,C9 H13,C9H13,C2,2,20,121.1013047,24598.82813,121.1011765,1.058820863,14.797412,
4987,PG(15:0_18:1)+NH4,C9 H15,C9H15,C2,2,21,123.1171769,27820.07617,123.1168265,2.846222701,14.797412,
4987,PG(15:0_18:1)+NH4,C9 H17,C9H17,C2,2,22,125.1330022,8354.979492,125.1324765,4.201662555,14.797412,
4987,PG(15:0_18:1)+NH4,C10 H15,C10H15,C2,2,23,135.1170266,30731.47656,135.1168265,1.481418793,14.797412,
4987,PG(15:0_18:1)+NH4,C10 H17,C10H17,C2,2,24,137.1327706,15217.30371,137.1324765,2.14483324,14.797412,
4987,PG(15:0_18:1)+NH4,C11 H17,C11H17,C2,2,25,149.1328692,12930.32422,149.1324765,2.633277046,14.797412,
4987,PG(15:0_18:1)+NH4,C11 H19,C11H19,C2,2,26,151.1481491,14865.61035,151.1481265,0.149872152,14.797412,
4987,PG(15:0_18:1)+NH4,15:0+75.04,MG(R1)-OH,C01,2,34,299.2583842,14203.37793,299.2580715,1.045008983,14.797412,
4987,PG(15:0_18:1)+NH4,18:1+75.04,MG(R2)-OH,C01,2,36,339.2885388,39434.13672,339.2893715,-2.454060426,14.797412,
4987,PG(15:0_18:1)+NH4,33:1+75.04,"NL[PG,+NH4]+H",C0,2,37,563.5035078,405798.0313,563.5033865,0.215280575,14.797412,
5036,PG(15:0_18:1)+NH4,C8 H13,C8H13,C2,2,1,109.1016776,23719.99609,109.1011765,4.592830015,14.960498,
5036,PG(15:0_18:1)+NH4,C8 H15,C8H15,C2,2,2,111.117165,11642.14551,111.1168265,3.046259802,14.960498,
5036,PG(15:0_18:1)+NH4,C9 H13,C9H13,C2,2,4,121.1012343,18388.00195,121.1011765,0.477246319,14.960498,
5036,PG(15:0_18:1)+NH4,C9 H15,C9H15,C2,2,5,123.1173705,11110.11133,123.1168265,4.418685496,14.960498,
5036,PG(15:0_18:1)+NH4,C10 H15,C10H15,C2,2,7,135.1168909,18494.19141,135.1168265,0.47720889,14.960498,
5036,PG(15:0_18:1)+NH4,C10 H17,C10H17,C2,2,8,137.1327351,8515.442383,137.1324765,1.886290899,14.960498,
5036,PG(15:0_18:1)+NH4,C11 H17,C11H17,C2,2,10,149.1329221,8846.878906,149.1324765,2.988186852,14.960498,
5036,PG(15:0_18:1)+NH4,15:0+75.04,MG(R1)-OH,C01,2,20,299.2572486,17648.34766,299.2580715,-2.749745897,14.960498,
5036,PG(15:0_18:1)+NH4,33:1+75.04_13C1,"NL[PG,+NH4]+H_13C1",ISO,2,27,564.5082687,29965.25586,564.5067415,2.705475837,14.960498,
5036,PG(15:0_18:1)+NH4,33:1+75.04_13C2,"NL[PG,+NH4]+H_13C2",ISO,2,28,565.5110614,16495.16406,565.5100965,1.706322488,14.960498,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
5195,Cer(d18:1_15:0)+H,d18:1+44.05,SPH(R1)+H-H2O-CH2O,C01,2,8,252.2683357,14123.9855,252.2685755,-0.950570098,16.503963,
5195,Cer(d18:1_15:0)+H,d18:1+44.05,SPH(R1)+NH4-H2O-CH2O,C01,2,8,252.2683357,14123.9855,252.2685755,-0.950570098,16.503963,
5195,Cer(d18:1_15:0)+H,NL[15:0+36.02],SPH(R1)+H-2H2O,C01,2,9,264.2683238,119389.3893,264.2685755,-0.952442866,16.503963,
5195,Cer(d18:1_15:0)+H,NL[15:0+36.02],SPH(R1)+NH4-2H2O,C01,2,9,264.2683238,119389.3893,264.2685755,-0.952442866,16.503963,
5195,Cer(d18:1_15:0)+H,NL[15:0+18.01],SPH(R1)+H-H2O,C01,2,10,282.278284,18488.80361,282.2791405,-3.034078724,16.503963,
5195,Cer(d18:1_15:0)+H,NL[15:0+18.01],SPH(R1)+NH4-H2O,C01,2,10,282.278284,18488.80361,282.2791405,-3.034078724,16.503963,
5765,Cer(d18:1_15:0)+H,d18:1+44.05,SPH(R1)+H-H2O-CH2O,C01,2,8,252.2683357,9199.762695,252.2685755,-0.950570098,16.503953,
