Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
FA,FA(23:0)+COOH:(s),C23H44O4,383.316684,[M-H],384.32396,7.34,0.01,85%,2287752,#N/A,#N/A,#N/A,2463719,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33282
LPA,LPA(18:1),C21H41O7P1,435.251715,[M-H],436.258991,5.21,0.02,254%,2194797,33970520,258793,1076565,1904304,#N/A,#N/A,6529,1768,23389,0,#N/A
DGMG,DGMG(18:1),C33H60O14,725.39651,[M+HCOO],680.398307,4.7,0.03,152.4%,2172995,9639,#N/A,#N/A,199362,4297693,#N/A,#N/A,#N/A,#N/A,218208,0
DGDG,DGDG(16:2_18:4),C49H80O15,953.547925,[M+HCOO],908.549722,7.99,0.04,241.9%,2170208,0,0,0,66901184,7760682,#N/A,#N/A,#N/A,0,211555,#N/A
FA,FA(18:4)+2O:(s),C18H28O4,307.191484,[M-H],308.19876,1.52,0.03,145.4%,2063863,#N/A,244179,#N/A,4747365,#N/A,#N/A,6430,1777,#N/A,#N/A,#N/A
Hex1Cer,Hex1Cer(d34:1)+2O:(s),C40H77N1O10,776.552951,[M+HCOO],731.554748,10.65,0.02,127.3%,2039867,#N/A,707,#N/A,474709,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LPE,LPE(18:2),C23H44N1O7P1,476.278264,[M-H],477.28554,2.61,0.03,101.6%,2031757,#N/A,#N/A,1934782,5559630,1840124,15847,#N/A,#N/A,210857,4051583,57567
PS,PS(18:2_18:2),C42H74N1O10P1,782.497759,[M-H],783.505035,14.68,0.04,150.2%,1704776,455537,0,#N/A,28982,#N/A,1546,#N/A,95974,1003719,44169,#N/A
Cer,Cer(d42:1)+O:(s),C42H83N1O4,710.630413,[M+HCOO],665.63221,17.32,0.03,213.2%,1691543,#N/A,#N/A,#N/A,0,95229,#N/A,#N/A,52915,58840,0,#N/A
PC,PC(18:0_18:2),C44H84N1O8P1,770.570529,[M-CH3]-,785.593456,16.1,0.08,255.3%,1626848,80394,0,#N/A,51907,95421,0,#N/A,#N/A,0,24631,0
Cer,Cer(d40:1)+2O:(s),C40H79N1O5,698.594028,[M+HCOO],653.595825,16.72,0.02,111.4%,1552266,#N/A,#N/A,#N/A,397114,1667056,#N/A,#N/A,0,47379,#N/A,#N/A
SQDG,SQDG(18:3_18:1),C45H78O12S1,841.514123,[M-H],842.521399,10.3,0.04,144.6%,1533135,#N/A,18779,81275,6353996,1675493,#N/A,#N/A,#N/A,#N/A,332233,#N/A
